id_student,code_module,code_presentation,final_result,score_media
100033,BBB,2024B,Fail,63.4
100033,AAA,2024J,Fail,36.9
100033,CCC,2024B,Pass,48.8
100033,GGG,2024B,Withdrawn,43.7
100034,BBB,2024J,Fail,49.3
100034,AAA,2024J,Pass,83.1
100034,GGG,2024B,Pass,75.6
100035,BBB,2024J,Distinction,83.1
100035,CCC,2024J,Fail,72.0
100035,AAA,2024J,Pass,72.8
100036,CCC,2024B,Withdrawn,50.7
100036,AAA,2024J,Withdrawn,19.6
100037,BBB,2024B,Distinction,52.9
100037,AAA,2024B,Pass,56.9
100038,AAA,2024J,Fail,83.5
100038,BBB,2024J,Pass,64.7
100039,AAA,2024B,Distinction,82.4
100039,BBB,2024B,Distinction,78.5
100039,CCC,2024B,Pass,85.0
100039,FFF,2024B,Withdrawn,68.0
100040,AAA,2024B,Pass,57.4
100040,BBB,2024J,Pass,41.4
100040,CCC,2024B,Fail,56.6
100040,GGG,2024J,Fail,67.2
100041,EEE,2024J,Pass,81.8
100041,DDD,2024B,Distinction,68.3
100042,EEE,2024B,Pass,62.4
100042,DDD,2024B,Pass,74.3
100043,DDD,2024B,Distinction,91.0
100043,EEE,2024B,Pass,94.5
100044,DDD,2024B,Distinction,69.2
100044,EEE,2024J,Pass,59.0
100044,AAA,2024J,Distinction,56.7
100045,EEE,2024B,Fail,84.8
100045,DDD,2024B,Pass,67.1
100046,DDD,2024B,Distinction,79.8
100046,EEE,2024B,Distinction,76.6
100047,EEE,2024B,Pass,95.3
100047,DDD,2024J,Distinction,44.0
100048,DDD,2024J,Pass,73.0
100048,EEE,2024B,Pass,87.2
100049,DDD,2024B,Pass,79.9
100049,EEE,2024J,Pass,75.8
100049,CCC,2024J,Fail,56.3
100050,EEE,2024B,Withdrawn,23.5
100050,DDD,2024B,Fail,63.4
100051,EEE,2024J,Pass,42.2
100051,DDD,2024J,Pass,68.9
100052,EEE,2024J,Withdrawn,47.9
100052,DDD,2024B,Pass,37.2
100053,EEE,2024B,Pass,61.5
100053,DDD,2024B,Fail,65.1
100054,DDD,2024B,Fail,100
100054,EEE,2024J,Pass,63.8
100054,AAA,2024J,Pass,59.4
100055,EEE,2024J,Distinction,83.6
100055,DDD,2024J,Pass,66.3
100055,GGG,2024J,Pass,69.4
100056,DDD,2024J,Pass,62.0
100056,EEE,2024B,Fail,62.4
100057,EEE,2024J,Fail,71.5
100057,DDD,2024B,Pass,75.3
100058,DDD,2024B,Fail,48.7
100058,EEE,2024B,Distinction,61.3
100059,EEE,2024J,Distinction,69.3
100059,DDD,2024J,Pass,79.6
100060,EEE,2024J,Pass,62.3
100060,DDD,2024B,Pass,88.7
100061,DDD,2024J,Pass,54.2
100061,EEE,2024B,Distinction,62.3
100062,EEE,2024J,Distinction,87.7
100062,DDD,2024J,Withdrawn,53.6
100063,DDD,2024B,Withdrawn,52.2
100063,EEE,2024J,Pass,70.2
100064,EEE,2024B,Distinction,75.6
100064,DDD,2024J,Pass,56.1
100064,AAA,2024B,Pass,72.2
100065,EEE,2024B,Pass,63.9
100065,DDD,2024B,Pass,62.3
100065,CCC,2024B,Pass,75.4
100066,EEE,2024B,Pass,67.5
100066,DDD,2024J,Fail,88.8
100067,EEE,2024B,Distinction,61.4
100067,DDD,2024J,Distinction,54.0
100068,DDD,2024J,Withdrawn,53.3
100068,EEE,2024B,Pass,71.9
100069,EEE,2024B,Distinction,64.5
100069,DDD,2024B,Pass,76.5
100069,FFF,2024J,Fail,59.3
100070,EEE,2024J,Pass,71.4
100070,DDD,2024B,Distinction,78.1
100071,DDD,2024B,Pass,79.3
100071,EEE,2024B,Withdrawn,67.7
100072,DDD,2024B,Pass,78.0
100072,EEE,2024J,Pass,71.8
100072,AAA,2024B,Withdrawn,62.5
100073,EEE,2024B,Withdrawn,54.6
100073,DDD,2024B,Pass,83.3
100074,DDD,2024B,Pass,74.4
100074,EEE,2024B,Fail,74.3
100075,DDD,2024J,Withdrawn,77.7
100075,EEE,2024J,Pass,90.6
100076,EEE,2024J,Pass,58.0
100076,DDD,2024J,Withdrawn,65.4
100077,DDD,2024J,Fail,46.6
100077,EEE,2024J,Withdrawn,50.1
100078,EEE,2024J,Pass,75.5
100078,DDD,2024J,Fail,75.4
100079,EEE,2024B,Pass,70.8
100079,DDD,2024J,Pass,45.7
100079,FFF,2024J,Pass,73.6
100080,EEE,2024B,Pass,29.7
100080,DDD,2024J,Withdrawn,53.5
100081,GGG,2024B,Pass,65.0
100081,FFF,2024J,Pass,83.2
100082,GGG,2024B,Pass,92.7
100082,FFF,2024J,Distinction,81.3
100083,FFF,2024B,Fail,61.2
100083,GGG,2024J,Withdrawn,86.1
100084,FFF,2024J,Distinction,78.4
100084,GGG,2024J,Fail,62.9
100084,DDD,2024J,Withdrawn,80.2
100085,GGG,2024B,Pass,50.3
100085,FFF,2024J,Pass,82.6
100085,CCC,2024J,Distinction,60.7
100086,FFF,2024B,Pass,77.7
100086,GGG,2024J,Fail,80.7
100087,FFF,2024B,Pass,32.9
100087,GGG,2024J,Pass,49.4
100088,GGG,2024J,Pass,59.8
100088,FFF,2024J,Withdrawn,48.6
100088,EEE,2024B,Withdrawn,47.2
100089,FFF,2024B,Pass,49.5
100089,GGG,2024J,Fail,59.9
100089,AAA,2024B,Pass,34.0
100090,FFF,2024B,Pass,91.7
100090,GGG,2024B,Pass,84.2
100091,GGG,2024J,Pass,66.1
100091,FFF,2024B,Pass,71.6
100091,BBB,2024J,Pass,72.6
100092,FFF,2024B,Distinction,78.7
100092,GGG,2024B,Pass,83.1
100093,GGG,2024B,Fail,33.2
100093,FFF,2024B,Fail,44.2
100094,GGG,2024J,Fail,48.9
100094,FFF,2024J,Pass,41.1
100095,GGG,2024J,Pass,62.3
100095,FFF,2024B,Fail,65.0
100096,GGG,2024J,Fail,71.2
100096,FFF,2024B,Distinction,76.9
100097,GGG,2024J,Withdrawn,50.5
100097,FFF,2024B,Fail,69.2
100098,GGG,2024B,Fail,68.3
100098,FFF,2024J,Pass,64.3
100099,FFF,2024B,Pass,62.0
100099,GGG,2024J,Fail,77.7
100100,GGG,2024J,Pass,80.3
100100,FFF,2024J,Pass,71.4
100101,GGG,2024B,Withdrawn,68.5
100101,FFF,2024B,Distinction,78.5
100101,BBB,2024B,Pass,67.5
100102,GGG,2024J,Fail,51.2
100102,FFF,2024B,Fail,44.7
100103,GGG,2024B,Withdrawn,32.0
100103,FFF,2024J,Withdrawn,53.3
100104,GGG,2024B,Withdrawn,37.7
100104,FFF,2024B,Pass,47.9
100105,GGG,2024B,Distinction,69.8
100105,FFF,2024B,Distinction,65.8
100105,CCC,2024J,Pass,80.3
100106,FFF,2024J,Pass,73.0
100106,GGG,2024B,Pass,93.1
100106,AAA,2024J,Distinction,80.8
100107,GGG,2024J,Distinction,65.0
100107,FFF,2024B,Pass,68.7
100107,CCC,2024J,Distinction,61.6
100108,FFF,2024B,Pass,80.6
100108,GGG,2024J,Pass,74.6
100109,FFF,2024B,Fail,25.4
100109,GGG,2024J,Fail,70.3
100110,FFF,2024B,Withdrawn,57.4
100110,GGG,2024B,Pass,47.5
100110,CCC,2024B,Withdrawn,71.4
100111,GGG,2024B,Withdrawn,65.7
100111,FFF,2024B,Pass,33.2
100112,GGG,2024B,Withdrawn,64.7
100112,FFF,2024B,Pass,57.0
100113,GGG,2024B,Fail,55.6
100113,FFF,2024B,Fail,61.1
100114,FFF,2024J,Distinction,78.4
100114,GGG,2024B,Pass,70.1
100115,GGG,2024J,Withdrawn,31.3
100115,FFF,2024B,Fail,35.1
100116,GGG,2024J,Pass,51.1
100116,FFF,2024B,Withdrawn,47.2
100116,CCC,2024J,Fail,47.2
100117,GGG,2024B,Pass,81.3
100117,FFF,2024B,Withdrawn,93.9
100117,AAA,2024B,Distinction,71.6
100118,GGG,2024J,Pass,75.9
100118,FFF,2024J,Fail,58.2
100119,FFF,2024B,Pass,8.9
100119,GGG,2024J,Pass,56.1
100120,GGG,2024J,Pass,79.4
100120,FFF,2024B,Distinction,79.4
